Query,TTMB,TFMB,TTMA,TFMA,RTMB,RFMB,RTMA,RFMA,Max
3_1_1_6,1422917632,902508000,1422917632,901981664,1422917632,901981664,1422917632,532362736,1560281088
3_1_1_7,1422917632,532362736,1422917632,531836400,1422917632,531836400,1451229184,851654128,1560281088
3_1_1_8,1451229184,851121632,1451229184,851121632,1451229184,851121632,1451229184,932916704,1560281088
3_1_1_9,1451229184,932390368,1451229184,932390368,1451229184,932390368,1451229184,930817504,1560281088
3_1_3_0,1451229184,930817504,1451229184,930295264,1451229184,930295264,1451229184,920542768,1560281088
3_1_3_1,1451229184,920542768,1451229184,920016432,1451229184,920016432,1451229184,754660848,1560281088
3_1_3_2,1451229184,754120160,1451229184,753612272,1451229184,753612272,1451229184,865283568,1560281088
3_1_3_3,1451229184,865283568,1451229184,864234992,1451229184,864234992,1451229184,854797792,1560281088
3_1_3_4,1451229184,854797792,1451229184,853749216,1451229184,853749216,1451229184,671821296,1560281088
3_1_3_5,1451229184,671821296,1451229184,670772720,1451229184,670772720,1451229184,819672560,1560281088
3_1_3_6,1451229184,819672560,1451229184,819146224,1451229184,819146224,1451229184,644034032,1560281088
3_1_3_7,1451229184,644034032,1451229184,643511792,1451229184,643511792,1451229184,705455552,1560281088
3_1_3_8,1451229184,705455552,1451229184,704933312,1451229184,704933312,1451229184,657289928,1560281088
3_1_3_9,1451229184,657289928,1451229184,656767688,1451229184,656767688,1451229184,772486656,1560281088
3_1_5_0,1451229184,772486656,1451229184,771438080,1451229184,771438080,1451229184,801322496,1560281088
3_1_5_1,1451229184,801322496,1451229184,800273920,1451229184,800273920,1451229184,650327552,1560281088
3_1_5_2,1451229184,650327552,1451229184,649278976,1451229184,649278976,1451229184,659240448,1560281088
3_1_5_3,1451229184,659240448,1451229184,658191872,1451229184,658191872,1451229184,673920512,1560281088
3_1_5_4,1451229184,673920512,1451229184,672871936,1451229184,672871936,1451229184,687552000,1560281088
3_1_5_5,1451229184,687552000,1451229184,686503424,1451229184,686503424,1451229184,698562048,1560281088
3_1_5_6,1451229184,698562048,1451229184,697513472,1451229184,697513472,1451229184,706950656,1560281088
3_1_5_7,1451229184,706950656,1451229184,705902080,1451229184,705902080,1451229184,713242112,1560281088
3_1_5_8,1451229184,713242112,1451229184,712193536,1451229184,712193536,1451229184,700134912,1560281088
3_1_5_9,1451229184,700134912,1451229184,699086336,1451229184,699086336,1451229184,691222016,1560281088
3_2_1_0,1451229184,691222016,1451229184,690173440,1451229184,690173440,1451229184,691746304,1560281088
3_2_1_1,1451229184,691746304,1451229184,690697728,1451229184,690697728,1451229184,692270592,1560281088
3_2_1_2,1451229184,692270592,1451229184,691222016,1451229184,691222016,1451229184,694892032,1560281088
3_2_1_3,1451229184,694892032,1451229184,693843456,1451229184,693843456,1451229184,695940608,1560281088
3_2_1_4,1451229184,695940608,1451229184,695418368,1451229184,695418368,1451229184,695942656,1560281088
3_2_1_5,1451229184,695401968,1451229184,694894080,1451229184,694894080,1451229184,712719872,1560281088
3_2_1_6,1451229184,712719872,1451229184,711671296,1451229184,711671296,1451229184,736135216,1560281088
3_2_1_7,1451229184,735612976,1451229184,735086640,1451229184,735086640,1451229184,806227224,1560281088
3_2_1_8,1451229184,806227224,1451229184,805178648,1451229184,805178648,1451229184,849503232,1560281088
3_2_1_9,1451229184,848976896,1451229184,848454656,1451229184,848454656,1451229184,684928496,1560281088
3_2_3_0,1451229184,684406256,1451229184,683357680,1451229184,683357680,1451229184,846935536,1560281088
